INSEE_COM;Annee;Nb_mutations;NbMaisons;NbApparts;propmaison;propappart;PrixMoyen;Prixm2Moyen;SurfaceMoy
35135;2023;20;17;3;85;15;191091.75;2238.2;91.65
35136;2023;95;64;31;67.3684210526316;32.6315789473684;211439.610526316;2562.90526315789;87.6842105263158
35137;2023;16;15;1;93.75;6.25;248942.5;2078.25;120.875
35138;2023;9;9;0;100;0;195697.333333333;2110.77777777778;92.6666666666667
35139;2023;75;49;26;65.3333333333333;34.6666666666667;240137.373333333;2804.92;89.8666666666667
35140;2023;7;7;0;100;0;126677.142857143;1419;83.4285714285714
35141;2023;3;3;0;100;0;215000;1945;109.666666666667
35142;2023;13;12;1;92.3076923076923;7.69230769230769;173730.769230769;1844.15384615385;103.846153846154
35143;2023;10;10;0;100;0;183889;1934.6;86.6
35144;2023;9;9;0;100;0;261615.555555556;2542.77777777778;100.666666666667
35145;2023;19;19;0;100;0;128863.157894737;1595.26315789474;80.7894736842105
35146;2023;5;5;0;100;0;235617;2509;95.6
35149;2023;19;19;0;100;0;263947.894736842;2757.10526315789;104.631578947368
35150;2023;37;37;0;100;0;213284.864864865;2112.13513513513;102.027027027027
35151;2023;2;2;0;100;0;122460;1576;70
35152;2023;85;64;21;75.2941176470588;24.7058823529412;276815.658823529;2884.44705882353;100.070588235294
35153;2023;6;6;0;100;0;228261.666666667;2192.16666666667;115
35154;2023;14;14;0;100;0;167235.714285714;1881.57142857143;85.8571428571429
35155;2023;7;7;0;100;0;281034.285714286;2593.14285714286;121.285714285714
35156;2023;6;6;0;100;0;217616.666666667;1830;128.833333333333
35157;2023;12;12;0;100;0;129732.5;1192.41666666667;108.916666666667
35159;2023;3;3;0;100;0;171666.666666667;1849.33333333333;90.6666666666667
35160;2023;5;5;0;100;0;113720;1550.6;73
35161;2023;17;17;0;100;0;193837.647058824;2090.29411764706;95.5882352941177
35162;2023;40;39;1;97.5;2.5;123531.125;1379.3;93.125
35163;2023;13;13;0;100;0;93497.2307692308;1274.92307692308;77.8461538461538
35164;2023;10;10;0;100;0;169908;1434.4;124.7
35165;2023;13;13;0;100;0;132797;1367.23076923077;101.692307692308
35166;2023;7;7;0;100;0;177357.142857143;1699.71428571429;105.428571428571
35167;2023;37;36;1;97.2972972972973;2.7027027027027;146604.864864865;1486.83783783784;98.5945945945946
35168;2023;70;70;0;100;0;140034.714285714;1556.15714285714;90.5
35169;2023;16;16;0;100;0;180230.0625;1848.6875;101.625
35170;2023;9;9;0;100;0;156771.666666667;1714.33333333333;93.5555555555556
35171;2023;26;26;0;100;0;182762.884615385;1727.34615384615;105.576923076923
35172;2023;14;14;0;100;0;189714.285714286;2174.28571428571;90
35173;2023;99;63;36;63.6363636363636;36.3636363636364;282214.353535354;2916.88888888889;95.989898989899
35174;2023;10;10;0;100;0;122620;1445.9;84.5
35175;2023;12;12;0;100;0;156624.166666667;1747.83333333333;84.5833333333333
35176;2023;111;108;3;97.2972972972973;2.7027027027027;166492.585585586;1890.6036036036;88.054054054054
35177;2023;52;38;14;73.0769230769231;26.9230769230769;330587.942307692;3137.57692307692;104.826923076923
35178;2023;24;24;0;100;0;220163;2169.04166666667;103.208333333333
35179;2023;79;70;9;88.6075949367088;11.3924050632911;218339.379746835;2411.70886075949;93.253164556962
35180;2023;9;9;0;100;0;177675.555555556;2133.11111111111;88.1111111111111
35181;2023;22;22;0;100;0;421093.181818182;3840.90909090909;115.545454545455
35183;2023;11;11;0;100;0;191933.454545455;1520.81818181818;123.818181818182
35184;2023;54;45;9;83.3333333333333;16.6666666666667;249795.425925926;2588.01851851852;98.4074074074074
35186;2023;17;17;0;100;0;252599.117647059;2526.76470588235;102.470588235294
35187;2023;14;14;0;100;0;173754.357142857;2256;78.1428571428571
35188;2023;66;38;28;57.5757575757576;42.4242424242424;228318.484848485;2660.27272727273;86.0606060606061
35189;2023;46;28;18;60.8695652173913;39.1304347826087;325600.195652174;3467.9347826087;95.6739130434783
35190;2023;7;7;0;100;0;151328.571428571;1336.42857142857;120.571428571429
35191;2023;21;21;0;100;0;100330.952380952;1233.7619047619;86.6190476190476
35192;2023;5;5;0;100;0;125093.8;1897.8;67
35193;2023;26;25;1;96.1538461538462;3.84615384615385;272195.807692308;2546.76923076923;107.346153846154
35194;2023;8;8;0;100;0;239879;2160.125;109.625
35195;2023;19;16;3;84.2105263157895;15.7894736842105;195815;2137.05263157895;94.2105263157895
35196;2023;70;38;32;54.2857142857143;45.7142857142857;242260.471428571;2931.47142857143;86.0428571428571
35197;2023;15;15;0;100;0;287843.733333333;2671.13333333333;109
35198;2023;13;13;0;100;0;240802.307692308;1665.07692307692;143.538461538462
35199;2023;3;3;0;100;0;166230;2035;79.3333333333333
35200;2023;3;3;0;100;0;193950;1378;143.333333333333
35201;2023;10;10;0;100;0;167251;1491.6;119.6
35202;2023;14;14;0;100;0;104984.571428571;1321.14285714286;77.5714285714286
35203;2023;2;2;0;100;0;186900;1482.5;127.5
35204;2023;25;22;3;88;12;296553.44;2834.4;106
